Table name,State,District,Area Name,Last residence,"Last residence","Place of enumeration",Total migrants-Persons,Total migrants-Males,Total migrants-Females,Duration (<1 year)-Persons,Duration (<1 year)-Males,Duration (<1 year)-Females,Duration (1-4 years)-Persons,Duration (1-4 years)-Males,Duration (1-4 years)-Females,Duration(5-9 years)-Persons,Duration (5-9 years)-Males,Duration (5-9 years)-Females,Duration (10-19 years)-Persons,Duration (10-19 years)-Males,Duration (10-19 years)-Females,Duration(20+ years)-Persons,Duration (20+) Males,Duration (20+ years)-Females,Duration (not stated)-Persons,Duration (not stated)-Males,Duration (not stated)-Females
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Total,187120594,39612206,147508388,5763237,2097015,3666222,25115486,6100815,19014671,25514620,5551644,19962976,43539240,8486589,35052651,73980156,11910405,62069751,13207855,5465738,7742117
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Rural,153920992,26311302,127609690,4369823,1452269,2917554,19601248,3842316,15758932,20274685,3446984,16827701,35479649,5308282,30171367,63454127,7964237,55489890,10741460,4297214,6444246
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Rural,Urban,33199602,13300904,19898698,1393414,644746,748668,5514238,2258499,3255739,5239935,2104660,3135275,8059591,3178307,4881284,10526029,3946168,6579861,2466395,1168524,1297871
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Total,47795519,21438873,26356646,2422540,1174043,1248497,7665865,3307704,4358161,6961819,2942717,4019102,9518235,3891016,5627219,10428330,4320411,6107919,10798730,5802982,4995748
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Rural,15967786,6384525,9583261,1037379,497420,539959,2886969,1166843,1720126,2584474,1001201,1583273,3446488,1256106,2190382,3413286,1080782,2332504,2599190,1382173,1217017
D0302,0,0,INDIA,Elsewhere in the district of enumeration,Urban,Urban,31827733,15054348,16773385,1385161,676623,708538,4778896,2140861,2638035,4377345,1941516,2435829,6071747,2634910,3436837,7015044,3239629,3775415,8199540,4420809,3778731
D0302,0,0,INDIA,In other districts of the state of enumeration,Total,Total,118138761,36649074,81489687,5137248,2236760,2900488,18939094,6481079,12458015,17542095,5594822,11947273,26627072,7709011,18918061,38802779,10034112,28768667,11090473,4593290,6497183
D0302,0,0,INDIA,In other districts of the state of enumeration,Total,Rural,59802804,11327839,48474965,2508574,984631,1523943,8543851,1933059,6610792,8198466,1566632,6631834,13476511,2177011,11299500,22390762,3007333,19383429,4684640,1659173,3025467
D0302,0,0,INDIA,In other districts of the state of enumeration,Total,Urban,58335957,25321235,33014722,2628674,1252129,1376545,10395243,4548020,5847223,9343629,4028190,5315439,13150561,5532000,7618561,16412017,7026779,9385238,6405833,2934117,3471716
D0302,0,0,INDIA,In other districts of the state of enumeration,Rural,Total,73204629,18849451,54355178,2901701,1202359,1699342,10986731,3256218,7730513,10687070,2917552,7769518,17373610,4269276,13104334,27524643,5941630,21583013,3730874,1262416,2468458
D0302,0,0,INDIA,In other districts of the state of enumeration,Rural,Rural,47818814,7542120,40276694,1801761,661931,1139830,6548141,1275552,5272589,6526888,1070565,5456323,11202873,1568990,9633883,19528333,2382853,17145480,2210818,582229,1628589
D0302,0,0,INDIA,In other districts of the state of enumeration,Rural,Urban,25385815,11307331,14078484,1099940,540428,559512,4438590,1980666,2457924,4160182,1846987,2313195,6170737,2700286,3470451,7996310,3558777,4437533,1520056,680187,839869
D0302,0,0,INDIA,In other districts of the state of enumeration,Urban,Total,37582527,15116889,22465638,2021006,950882,1070124,7240778,3008509,4232269,6219087,2489518,3729569,8373915,3196304,5177611,9849432,3735134,6114298,3878309,1736542,2141767
D0302,0,0,INDIA,In other districts of the state of enumeration,Urban,Rural,8118132,2657448,5460684,594137,286212,307925,1634011,585975,1048036,1347042,437072,909970,1809503,533937,1275566,2033469,515656,1517813,699970,298596,401374
D0302,0,0,INDIA,In other districts of the state of enumeration,Urban,Urban,29464395,12459441,17004954,1426869,664670,762199,5606767,2422534,3184233,4872045,2052446,2819599,6564412,2662367,3902045,7815963,3219478,4596485,3178339,1437946,1740393
D0302,0,0,INDIA,States in India beyond the state of enumeration,Total,Total,54264749,23869812,30394937,3531612,1974826,1556786,9989877,4705486,5284391,8420417,3745036,4675381,11984859,5017291,6967568,16210550,6491155,9719395,4127434,1936018,2191416
D0302,0,0,INDIA,States in India beyond the state of enumeration,Total,Rural,15895250,4433335,11461915,1418895,802079,616816,2546615,872998,1673617,2169176,578070,1591106,3326212,730416,2595796,5234110,948808,4285302,1200242,500964,699278
D0302,0,0,INDIA,States in India beyond the state of enumeration,Total,Urban,38369499,19436477,18933022,2112717,1172747,939970,7443262,3832488,3610774,6251241,3166966,3084275,8658647,4286875,4371772,10976440,5542347,5434093,2927192,1435054,1492138
D0302,0,0,INDIA,States in India beyond the state of enumeration,Rural,Total,31635486,13752835,17882651,2090964,1195384,895580,5525850,2642320,2883530,4950241,2214634,2735607,7457568,3122362,4335206,10200017,3944724,6255293,1410846,633411,777435
D0302,0,0,INDIA,States in India beyond the state of enumeration,Rural,Rural,12019426,2988301,9031125,1021852,560314,461538,1835177,588608,1246569,1632763,396816,1235947,2620035,521209,2098826,4357606,727253,3630353,551993,194101,357892
D0302,0,0,INDIA,States in India beyond the state of enumeration,Rural,Urban,19616060,10764534,8851526,1069112,635070,434042,3690673,2053712,1636961,3317478,1817818,1499660,4837533,2601153,2236380,5842411,3217471,2624940,858853,439310,419543
D0302,0,0,INDIA,States in India beyond the state of enumeration,Urban,Total,19697292,8778495,10918797,1292536,699366,593170,4090160,1892160,2198000,3164119,1397102,1767017,4140922,1737741,2403181,5416797,2312801,3103996,1592758,739325,853433
D0302,0,0,INDIA,States in India beyond the state of enumeration,Urban,Rural,2889303,1095749,1793554,337700,211794,125906,604494,251418,353076,450950,159281,291669,591643,184726,406917,685259,187408,497851,219257,101122,118135
D0302,0,0,INDIA,States in India beyond the state of enumeration,Urban,Urban,16807989,7682746,9125243,954836,487572,467264,3485666,1640742,1844924,2713169,1237821,1475348,3549279,1553015,1996264,4731538,2125393,2606145,1373501,638203,735298
D0302,0,0,INDIA,Jammu & Kashmir,Total,Total,328919,165644,163275,24132,14052,10080,63811,31937,31874,35161,15876,19285,48180,19740,28440,63182,25111,38071,94453,58928,35525
D0302,0,0,INDIA,Jammu & Kashmir,Total,Rural,128232,65641,62591,8857,5701,3156,14535,6819,7716,9720,3614,6106,14502,4248,10254,19062,4676,14386,61556,40583,20973
D0302,0,0,INDIA,Jammu & Kashmir,Total,Urban,200687,100003,100684,15275,8351,6924,49276,25118,24158,25441,12262,13179,33678,15492,18186,44120,20435,23685,32897,18345,14552
D0302,0,0,INDIA,Jammu & Kashmir,Rural,Total,91810,39326,52484,8615,5191,3424,18999,9056,9943,11101,4419,6682,17019,5799,11220,22589,6849,15740,13487,8012,5475
D0302,0,0,INDIA,Jammu & Kashmir,Rural,Rural,49876,17672,32204,4174,2613,1561,7261,2788,4473,5730,1637,4093,9341,2117,7224,13200,2309,10891,10170,6208,3962
D0302,0,0,INDIA,Jammu & Kashmir,Rural,Urban,41934,21654,20280,4441,2578,1863,11738,6268,5470,5371,2782,2589,7678,3682,3996,9389,4540,4849,3317,1804,1513
D0302,0,0,INDIA,Jammu & Kashmir,Urban,Total,164310,80625,83685,14528,8308,6220,42579,21758,20821,22710,10848,11862,29272,13249,16023,37460,16907,20553,17761,9555,8206
D0302,0,0,INDIA,Jammu & Kashmir,Urban,Rural,26692,14372,12320,4224,2823,1401,6621,3737,2884,3466,1774,1692,4342,1943,2399,4694,1986,2708,3345,2109,1236
D0302,0,0,INDIA,Jammu & Kashmir,Urban,Urban,137618,66253,71365,10304,5485,4819,35958,18021,17937,19244,9074,10170,24930,11306,13624,32766,14921,17845,14416,7446,6970
D0302,0,0,INDIA,Himachal Pradesh,Total,Total,535823,232034,303789,24483,11856,12627,85224,36753,48471,68691,28044,40647,111557,44603,66954,181964,75791,106173,63904,34987,28917
D0302,0,0,INDIA,Himachal Pradesh,Total,Rural,166763,50592,116171,7939,3709,4230,21657,6589,15068,19104,4674,14430,31890,7082,24808,57646,11975,45671,28527,16563,11964
D0302,0,0,INDIA,Himachal Pradesh,Total,Urban,369060,181442,187618,16544,8147,8397,63567,30164,33403,49587,23370,26217,79667,37521,42146,124318,63816,60502,35377,18424,16953
D0302,0,0,INDIA,Himachal Pradesh,Rural,Total,314777,128739,186038,13871,6533,7338,49182,20780,28402,41444,16317,25127,72168,28079,44089,117963,46839,71124,20149,10191,9958
D0302,0,0,INDIA,Himachal Pradesh,Rural,Rural,121811,29276,92535,5507,2351,3156,16288,4421,11867,15249,3323,11926,26495,5368,21127,49474,9585,39889,8798,4228,4570
D0302,0,0,INDIA,Himachal Pradesh,Rural,Urban,192966,99463,93503,8364,4182,4182,32894,16359,16535,26195,12994,13201,45673,22711,22962,68489,37254,31235,11351,5963,5388
D0302,0,0,INDIA,Himachal Pradesh,Urban,Total,174931,78658,96273,9651,4857,4794,32863,14671,18192,24772,10780,13992,35843,15239,20604,58231,26831,31400,13571,6280,7291
D0302,0,0,INDIA,Himachal Pradesh,Urban,Rural,21184,8475,12709,2072,1204,868,4317,1880,2437,3016,1150,1866,4164,1461,2703,5969,1974,3995,1646,806,840
D0302,0,0,INDIA,Himachal Pradesh,Urban,Urban,153747,70183,83564,7579,3653,3926,28546,12791,15755,21756,9630,12126,31679,13778,17901,52262,24857,27405,11925,5474,6451
D0302,0,0,INDIA,Punjab,Total,Total,1740877,674796,1066081,78886,38840,40046,238013,87318,150695,200061,67693,132368,340950,115309,225641,768159,310562,457597,114808,55074,59734
D0302,0,0,INDIA,Punjab,Total,Rural,649776,199870,449906,35932,18957,16975,80548,23121,57427,74508,18678,55830,129896,31678,98218,291305,88757,202548,37587,18679,18908
D0302,0,0,INDIA,Punjab,Total,Urban,1091101,474926,616175,42954,19883,23071,157465,64197,93268,125553,49015,76538,211054,83631,127423,476854,221805,255049,77221,36395,40826
D0302,0,0,INDIA,Punjab,Rural,Total,826025,289896,536129,32101,14898,17203,95670,30249,65421,90208,26274,63934,168963,50470,118493,405065,152394,252671,34018,15611,18407
D0302,0,0,INDIA,Punjab,Rural,Rural,494048,138003,356045,20174,9232,10942,53870,13121,40749,54519,11821,42698,101829,22409,79420,244404,72915,171489,19252,8505,10747
D0302,0,0,INDIA,Punjab,Rural,Urban,331977,151893,180084,11927,5666,6261,41800,17128,24672,35689,14453,21236,67134,28061,39073,160661,79479,81182,14766,7106,7660
D0302,0,0,INDIA,Punjab,Urban,Total,839355,353431,485924,44057,22728,21329,134892,54648,80244,103969,39623,64346,162688,61859,100829,342093,150463,191630,51656,24110,27546
D0302,0,0,INDIA,Punjab,Urban,Rural,123237,49682,73555,14312,9086,5226,23352,9182,14170,17286,6209,11077,23822,8236,15586,36611,12716,23895,7854,4253,3601
D0302,0,0,INDIA,Punjab,Urban,Urban,716118,303749,412369,29745,13642,16103,111540,45466,66074,86683,33414,53269,138866,53623,85243,305482,137747,167735,43802,19857,23945
D0302,0,0,INDIA,Chandigarh,Total,Total,265645,129413,136232,20229,10689,9540,58856,27846,31010,48929,23419,25510,56049,26071,29978,44313,21511,22802,37269,19877,17392
D0302,0,0,INDIA,Chandigarh,Total,Rural,50602,22793,27809,4870,2917,1953,8768,3710,5058,7166,2906,4260,9258,3532,5726,8706,3076,5630,11834,6652,5182
D0302,0,0,INDIA,Chandigarh,Total,Urban,215043,106620,108423,15359,7772,7587,50088,24136,25952,41763,20513,21250,46791,22539,24252,35607,18435,17172,25435,13225,12210
D0302,0,0,INDIA,Chandigarh,Rural,Total,28065,11404,16661,2026,1030,996,5255,2211,3044,4610,1866,2744,5900,2207,3693,6652,2231,4421,3622,1859,1763
D0302,0,0,INDIA,Chandigarh,Rural,Rural,14552,5077,9475,1053,530,523,2330,816,1514,2111,687,1424,2908,851,2057,3965,1066,2899,2185,1127,1058
D0302,0,0,INDIA,Chandigarh,Rural,Urban,13513,6327,7186,973,500,473,2925,1395,1530,2499,1179,1320,2992,1356,1636,2687,1165,1522,1437,732,705
D0302,0,0,INDIA,Chandigarh,Urban,Total,218523,107708,110815,17832,9470,8362,52385,25095,27290,43233,21021,22212,48921,23274,25647,36698,18747,17951,19454,10101,9353
D0302,0,0,INDIA,Chandigarh,Urban,Rural,29454,14062,15392,3762,2359,1403,6222,2812,3410,4864,2152,2712,6138,2590,3548,4479,1899,2580,3989,2250,1739
D0302,0,0,INDIA,Chandigarh,Urban,Urban,189069,93646,95423,14070,7111,6959,46163,22283,23880,38369,18869,19500,42783,20684,22099,32219,16848,15371,15465,7851,7614
D0302,0,0,INDIA,Uttarakhand,Total,Total,993570,402421,591149,44525,20564,23961,169425,69184,100241,156279,62777,93502,241090,94567,146523,305646,121757,183889,76605,33572,43033
D0302,0,0,INDIA,Uttarakhand,Total,Rural,238607,43567,195040,11289,4587,6702,39766,9618,30148,35629,6459,29170,57666,8237,49429,78849,9336,69513,15408,5330,10078
D0302,0,0,INDIA,Uttarakhand,Total,Urban,754963,358854,396109,33236,15977,17259,129659,59566,70093,120650,56318,64332,183424,86330,97094,226797,112421,114376,61197,28242,32955
D0302,0,0,INDIA,Uttarakhand,Rural,Total,592434,244974,347460,23171,10749,12422,93522,38490,55032,93783,38732,55051,155766,63257,92509,198244,81779,116465,27948,11967,15981
D0302,0,0,INDIA,Uttarakhand,Rural,Rural,174418,27555,146863,6778,2456,4322,27288,5970,21318,25839,4301,21538,44353,5996,38357,62434,6846,55588,7726,1986,5740
D0302,0,0,INDIA,Uttarakhand,Rural,Urban,418016,217419,200597,16393,8293,8100,66234,32520,33714,67944,34431,33513,111413,57261,54152,135810,74933,60877,20222,9981,10241
D0302,0,0,INDIA,Uttarakhand,Urban,Total,356018,138716,217302,19789,9103,10686,70706,28760,41946,58092,22503,35589,78972,29297,49675,99015,37318,61697,29444,11735,17709
D0302,0,0,INDIA,Uttarakhand,Urban,Rural,49999,12394,37605,3996,1960,2036,10721,3273,7448,8264,1923,6341,10858,1961,8897,12938,2144,10794,3222,1133,2089
D0302,0,0,INDIA,Uttarakhand,Urban,Urban,306019,126322,179697,15793,7143,8650,59985,25487,34498,49828,20580,29248,68114,27336,40778,86077,35174,50903,26222,10602,15620
D0302,0,0,INDIA,Haryana,Total,Total,2315915,723701,1592214,96543,41975,54568,346102,116451,229651,319622,98794,220828,510048,147454,362594,888203,253529,634674,155397,65498,89899
D0302,0,0,INDIA,Haryana,Total,Rural,911160,147959,763201,37530,15132,22398,124925,26246,98679,122863,21359,101504,201260,27613,173647,368662,37311,331351,55920,20298,35622
D0302,0,0,INDIA,Haryana,Total,Urban,1404755,575742,829013,59013,26843,32170,221177,90205,130972,196759,77435,119324,308788,119841,188947,519541,216218,303323,99477,45200,54277
D0302,0,0,INDIA,Haryana,Rural,Total,1387818,370104,1017714,45353,17385,27968,185569,53543,132026,187414,50574,136840,324554,84160,240394,588716,144146,444570,56212,20296,35916
D0302,0,0,INDIA,Haryana,Rural,Rural,740606,98639,641967,23521,7553,15968,96121,17341,78780,99516,15237,84279,169762,20688,149074,323361,29896,293465,28325,7924,20401
D0302,0,0,INDIA,Haryana,Rural,Urban,647212,271465,375747,21832,9832,12000,89448,36202,53246,87898,35337,52561,154792,63472,91320,265355,114250,151105,27887,12372,15515
D0302,0,0,INDIA,Haryana,Urban,Total,819450,316852,502598,47476,23218,24258,148450,59736,88714,122385,45820,76565,171114,60085,111029,274439,104170,170269,55586,23823,31763
D0302,0,0,INDIA,Haryana,Urban,Rural,112502,35252,77250,11920,6969,4951,21884,7772,14112,17635,5182,12453,22867,5722,17145,29536,5739,23797,8660,3868,4792
D0302,0,0,INDIA,Haryana,Urban,Urban,706948,281600,425348,35556,16249,19307,126566,51964,74602,104750,40638,64112,148247,54363,93884,244903,98431,146472,46926,19955,26971
D0302,0,0,INDIA,NCT of Delhi,Total,Total,1556308,629469,926839,114984,61099,53885,364707,158528,206179,302520,127932,174588,329732,127547,202185,288488,86252,202236,155877,68111,87766
D0302,0,0,INDIA,NCT of Delhi,Total,Rural,288417,78149,210268,34378,21120,13258,59421,18732,40689,45558,11361,34197,55442,10413,45029,71779,7173,64606,21839,9350,12489
D0302,0,0,INDIA,NCT of Delhi,Total,Urban,1267891,551320,716571,80606,39979,40627,305286,139796,165490,256962,116571,140391,274290,117134,157156,216709,79079,137630,134038,58761,75277
D0302,0,0,INDIA,NCT of Delhi,Rural,Total,196505,48265,148240,10309,4792,5517,36846,11347,25499,32778,8954,23824,44007,10267,33740,58225,7754,50471,14340,5151,9189
D0302,0,0,INDIA,NCT of Delhi,Rural,Rural,101423,12159,89264,5313,2261,3052,16665,2887,13778,14783,1785,12998,21425,1922,19503,38194,1920,36274,5043,1384,3659
D0302,0,0,INDIA,NCT of Delhi,Rural,Urban,95082,36106,58976,4996,2531,2465,20181,8460,11721,17995,7169,10826,22582,8345,14237,20031,5834,14197,9297,3767,5530
D0302,0,0,INDIA,NCT of Delhi,Urban,Total,1308244,559819,748425,102861,55426,47435,322101,144834,177267,264930,117111,147819,280384,115356,165028,224398,76611,147787,113570,50481,63089
D0302,0,0,INDIA,NCT of Delhi,Urban,Rural,178346,62809,115537,28597,18607,9990,41858,15605,26253,30041,9424,20617,33209,8333,24876,32435,5139,27296,12206,5701,6505
D0302,0,0,INDIA,NCT of Delhi,Urban,Urban,1129898,497010,632888,74264,36819,37445,280243,129229,151014,234889,107687,127202,247175,107023,140152,191963,71472,120491,101364,44780,56584
D0302,0,0,INDIA,Rajasthan,Total,Total,3756716,1509920,2246796,196271,100580,95691,647089,283733,363356,566677,236240,330437,833933,319737,514196,1236239,443133,793106,276507,126497,150010
D0302,0,0,INDIA,Rajasthan,Total,Rural,1201172,231932,969240,72335,33642,38693,178514,47315,131199,163755,35091,128664,265966,43241,222725,451655,48746,402909,68947,23897,45050
D0302,0,0,INDIA,Rajasthan,Total,Urban,2555544,1277988,1277556,123936,66938,56998,468575,236418,232157,402922,201149,201773,567967,276496,291471,784584,394387,390197,207560,102600,104960
D0302,0,0,INDIA,Rajasthan,Rural,Total,2370432,892911,1477521,124418,63663,60755,395473,168774,226699,363217,146613,216604,554999,202507,352492,830423,268492,561931,101902,42862,59040
D0302,0,0,INDIA,Rajasthan,Rural,Rural,1016516,173070,843446,57414,25959,31455,144342,34696,109646,138171,27090,111081,231710,34125,197585,405307,39995,365312,39572,11205,28367
D0302,0,0,INDIA,Rajasthan,Rural,Urban,1353916,719841,634075,67004,37704,29300,251131,134078,117053,225046,119523,105523,323289,168382,154907,425116,228497,196619,62330,31657,30673
D0302,0,0,INDIA,Rajasthan,Urban,Total,1182783,529117,653666,62638,32464,30174,223953,103370,120583,180045,79990,100055,250412,106274,144138,361431,157919,203512,104304,49100,55204
D0302,0,0,INDIA,Rajasthan,Urban,Rural,124023,43236,80787,11682,6452,5230,26343,10963,15380,19044,6718,12326,25787,7826,17961,32428,7322,25106,8739,3955,4784
D0302,0,0,INDIA,Rajasthan,Urban,Urban,1058760,485881,572879,50956,26012,24944,197610,92407,105203,161001,73272,87729,224625,98448,126177,329003,150597,178406,95565,45145,50420
D0302,0,0,INDIA,Uttar Pradesh,Total,Total,12319592,6251980,6067612,772419,452597,319822,2264669,1195375,1069294,2008882,1032721,976161,2951865,1472520,1479345,3604864,1737096,1867768,716893,361671,355222
D0302,0,0,INDIA,Uttar Pradesh,Total,Rural,2292384,698451,1593933,265194,155415,109779,403708,159841,243867,318492,99060,219432,463104,112260,350844,707042,112201,594841,134844,59674,75170
D0302,0,0,INDIA,Uttar Pradesh,Total,Urban,10027208,5553529,4473679,507225,297182,210043,1860961,1035534,825427,1690390,933661,756729,2488761,1360260,1128501,2897822,1624895,1272927,582049,301997,280052
D0302,0,0,INDIA,Uttar Pradesh,Rural,Total,8480393,4410513,4069880,550304,332363,217941,1541530,843145,698385,1415380,749664,665716,2134454,1094367,1040087,2516561,1228354,1288207,322164,162620,159544
D0302,0,0,INDIA,Uttar Pradesh,Rural,Rural,1880495,539126,1341369,217531,128748,88783,317332,122943,194389,259916,77266,182650,390410,88491,301919,617833,89798,528035,77473,31880,45593
D0302,0,0,INDIA,UttarPradesh,Rural,Urban,6599898,3871387,2728511,332773,203615,129158,1224198,720202,503996,1155464,672398,483066,1744044,1005876,738168,1898728,1138556,760172,244691,130740,113951
D0302,0,0,INDIA,Uttar Pradesh,Urban,Total,3279589,1556890,1722699,188271,100721,87550,636602,307294,329308,523204,247110,276094,731048,335791,395257,972986,454136,518850,227478,111838,115640
D0302,0,0,INDIA,Uttar Pradesh,Urban,Rural,295491,118400,177091,36364,20722,15642,68939,30980,37959,46691,18243,28448,58274,20371,37903,66685,19029,47656,18538,9055,9483
D0302,0,0,INDIA,Uttar Pradesh,Urban,Urban,2984098,1438490,1545608,151907,79999,71908,567663,276314,291349,476513,228867,247646,672774,315420,357354,906301,435107,471194,208940,102783,106157
D0302,0,0,INDIA,Bihar,Total,Total,7453803,3851560,3602243,521444,326572,194872,1406980,781190,625790,1259364,658443,600921,1788519,888191,900328,1943947,930290,1013657,533549,266874,266675
D0302,0,0,INDIA,Bihar,Total,Rural,1744749,576608,1168141,208232,130447,77785,285107,127060,158047,233660,75872,157788,365277,89333,275944,520706,102588,418118,131767,51308,80459
D0302,0,0,INDIA,Bihar,Total,Urban,5709054,3274952,2434102,313212,196125,117087,1121873,654130,467743,1025704,582571,443133,1423242,798858,624384,1423241,827702,595539,401782,215566,186216
D0302,0,0,INDIA,Bihar,Rural,Total,5553907,2897277,2656630,411877,262812,149065,1035345,584313,451032,949555,503206,446349,1381976,693277,688699,1496349,716413,779936,278805,137256,141549
